"","departamento_inei","departamento","provincia_inei","provincia","Nro","Poblacion18","Avance"
"1","01","AMAZONAS","0101","CHACHAPOYAS",36068,40449,89.1690771094465
"2","01","AMAZONAS","0102","BAGUA",34356,61590,55.7817827569411
"3","01","AMAZONAS","0103","BONGARA",17205,20668,83.2446293787498
"4","01","AMAZONAS","0104","CONDORCANQUI",10266,37915,27.0763550046156
"5","01","AMAZONAS","0105","LUYA",29059,34638,83.8934118598071
"6","01","AMAZONAS","0106","RODRIGUEZ DE MENDOZA",19062,22784,83.6639747191011
"7","01","AMAZONAS","0107","UTCUBAMBA",64372,85072,75.6676697385744
"8","02","ANCASH","0201","HUARAZ",113896,125353,90.8602107648002
"9","02","ANCASH","0202","AIJA",5433,5794,93.7694166379013
"10","02","ANCASH","0203","ANTONIO RAYMONDI",8935,10539,84.7803396906727
"11","02","ANCASH","0204","ASUNCION",5505,5866,93.8458915785885
"12","02","ANCASH","0205","BOLOGNESI",16308,18191,89.6487273926667
"13","02","ANCASH","0206","CARHUAZ",34756,37938,91.6126311350097
"14","02","ANCASH","0207","CARLOS FERMIN FITZCARRALD",12569,13769,91.2847701358123
"15","02","ANCASH","0208","CASMA",32281,37008,87.2270860354518
"16","02","ANCASH","0209","CORONGO",4973,5514,90.1886108088502
"17","02","ANCASH","0210","HUARI",52004,57758,90.0377436891859
"18","02","ANCASH","0211","HUARMEY",21042,23250,90.5032258064516
"19","02","ANCASH","0212","HUAYLAS",38453,41918,91.7338613483468
"20","02","ANCASH","0213","MARISCAL LUZURIAGA",14758,15961,92.4628782657728
"21","02","ANCASH","0214","OCROS",4694,5236,89.6485867074102
"22","02","ANCASH","0215","PALLASCA",14850,17495,84.8813946841955
"23","02","ANCASH","0216","POMABAMBA",16951,18512,91.5676318063959
"24","02","ANCASH","0217","RECUAY",14573,15708,92.7743824802648
"25","02","ANCASH","0218","SANTA",305958,351571,87.0259492392717
"26","02","ANCASH","0219","SIHUAS",18853,21292,88.5449934247605
"27","02","ANCASH","0220","YUNGAY",37267,43216,86.2342650870048
"28","03","APURIMAC","0301","ABANCAY",71959,82074,87.6757560250506
"29","03","APURIMAC","0302","ANDAHUAYLAS",93793,113103,82.9270664792269
"30","03","APURIMAC","0303","ANTABAMBA",7899,9348,84.4993581514763
"31","03","APURIMAC","0304","AYMARAES",19475,21726,89.6391420417932
"32","03","APURIMAC","0305","COTABAMBAS",26790,36846,72.7080280084677
"33","03","APURIMAC","0306","CHINCHEROS",29712,35746,83.1197896268114
"34","03","APURIMAC","0307","GRAU",15957,18308,87.1586191828709
"35","04","AREQUIPA","0401","AREQUIPA",764690,893428,85.5905568215906
"36","04","AREQUIPA","0402","CAMANA",39694,48005,82.6872200812415
"37","04","AREQUIPA","0403","CARAVELI",22304,26103,85.4461173045244
"38","04","AREQUIPA","0404","CASTILLA",22074,25979,84.9686285076408
"39","04","AREQUIPA","0405","CAYLLOMA",55270,75963,72.7591064070666
